item_internal,game_name
4475,The Secret of Monkey Island Special Edition
4497,The Swapper
4499,The Talos Principle
4504,The Testament of Sherlock Holmes
4519,The Walking Dead Season Two
4524,The Witcher 2 Assassins of Kings Enhanced Edition
4525,The Witcher 3 Wild Hunt
4527,The Witcher 3 Wild Hunt - New Finisher Animations
4531,The Wolf Among Us
4590,To the Moon
4642,Tom Clancy's Splinter Cell Blacklist
4646,Tomb Raider
4648,Tomb Raider Anniversary
4659,Torchlight
4673,Tower of Guns
4697,Transformers Fall of Cybertron
4700,Transistor
4712,Tribes Ascend - Steam Starter Pack
4714,Trine 2
4772,Undertale
4790,Unturned
4854,Viscera Cleanup Detail Shadow Warrior
4915,"Warhammer 40,000 Dawn of War II"
4917,"Warhammer 40,000 Dawn of War II - Chaos Rising"
4926,Warhammer End Times - Vermintide
4927,Warhammer End Times - Vermintide Sigmar's Blessing
4939,Wasteland 1 - The Original Classic
4940,Wasteland 2
4941,Wasteland 2 Director's Cut
5016,World of Goo
5056,XCOM Enemy Within
984,Counter-Strike Nexon Zombies
1474,Eldevin
1664,Fallen Earth
2621,Magicka Wizard Wars
3196,PlanetSide 2
3421,RaceRoom Racing Experience 
3427,Ragnarok Online 2
3452,Realm of the Mad God
3545,Rise of Incarnates
4440,The Mighty Quest For Epic Loot
4900,Warface
5155,theHunter
732,Call of Duty Black Ops II
733,Call of Duty Black Ops II - Multiplayer
734,Call of Duty Black Ops II - Zombies
1114,Darkest Hour Europe '44-'45
1134,Day of Defeat Source
2651,Mare Nostrum
3476,Red Orchestra Ostfront 41-45
4887,War Thunder
403,Axel & Pixel
424,BRINK
480,Battlefield 2
522,BioShock
523,BioShock 2
602,Bloody Good Time
628,Borderlands DLC Claptraps New Robot Revolution
629,Borderlands DLC Mad Moxxi's Underdome Riot
630,Borderlands DLC The Secret Armory of General Knoxx
631,Borderlands DLC The Zombie Island of Dr. Ned
725,Call of Duty 4 Modern Warfare
726,Call of Duty Advanced Warfare
727,Call of Duty Advanced Warfare - Multiplayer
736,Call of Duty Ghosts
737,Call of Duty Ghosts - Multiplayer
868,CivCity Rome
1103,Dark Messiah of Might & Magic Multi-Player
1104,Dark Messiah of Might & Magic Single Player
1135,DayZ
1154,Dead Space
1403,Duke Nukem Forever
1549,Eufloria
1550,Eufloria HD
1551,Eufloria HD Original Soundtrack
1810,Freedom Force
1811,Freedom Force vs. the 3rd Reich
1819,Front Mission Evolved
2081,Half-Life Source
2148,Heroes of Annihilated Empires
2177,Homefront
2203,Hydrophobia Prophecy
2209,I Am Alive
2226,Ignite
2375,Killing Floor
2379,Killing Floor Mod Defence Alliance 2
2599,Mafia
2600,Mafia II
2660,Mass Effect
2669,Max Payne 2 The Fall of Max Payne
2681,Medal of Honor Pre-Order
2682,Medal of Honor(TM) Multiplayer
2683,Medal of Honor(TM) Single Player
2848,NBA 2K10
2849,NBA 2K11
2954,No More Room in Hell
3040,Osmos
3072,PC Gamer
3083,Painkiller Black Edition
3085,Painkiller Hell & Damnation
3087,Painkiller Hell & Damnation Beta
3088,Painkiller Overdose
3091,Painkiller Resurrection
3375,RIFT
3431,Railroad Tycoon 2 Platinum
3432,Railroad Tycoon 3
3736,Section 8 Prejudice
3788,Shattered Horizon
3791,Shattered Union
3822,Sid Meier's Civilization III Complete
3823,Sid Meier's Civilization IV
3824,Sid Meier's Civilization IV Beyond the Sword
3825,Sid Meier's Civilization IV Colonization
3826,Sid Meier's Civilization IV Warlords
3832,Sid Meier's Railroads!
3896,Sniper Elite
3900,Sniper Elite V2
3903,Sniper Ghost Warrior
4108,Stronghold 2
4111,Stronghold Crusader Extreme HD
4112,Stronghold Crusader HD
4113,Stronghold HD
4115,Stronghold Legends
4193,Synergy
4441,The Misadventures of P.B. Winterbottom
4783,Unreal Gold
4784,Unreal II The Awakening
4785,Unreal Tournament 2004
4786,Unreal Tournament 3 Black Edition
4787,Unreal Tournament Game of the Year Edition
4993,Wolfenstein
5038,X-COM Apocalypse
5039,X-COM Enforcer
5040,X-COM Interceptor
5041,X-COM Terror from the Deep
5042,X-COM UFO Defense
5104,Zombie Driver
5109,Zombie Panic Source
1601,F1 2014
1761,Football Manager 2009
454,Batman Arkham Asylum GOTY Edition
456,Batman Arkham City GOTY
667,Brothers in Arms Earned in Blood
668,Brothers in Arms Hell's Highway
669,Brothers in Arms Road to Hill 30
715,Cabela's Dangerous Hunts 2013
63,A Valley Without Wind
64,A Valley Without Wind 2
73,A.R.E.S.
79,AI War Fleet Command
172,Age of Chivalry
196,Air Conflicts Pacific Carriers
230,Alien Zombie Megadeath
271,And Yet It Moves
277,Anna - Extended Edition
289,Anomaly Warzone Earth
294,Antichamber
313,ArcaniA
336,Arma Cold War Assault
358,Assassin's Creed II
359,Assassin's Creed III
362,Assassin's Creed Revelations
379,Atom Zombie Smasher 
392,Avadon The Black Fortress
395,Avernum 4
396,Avernum 5
397,Avernum 6
398,Avernum Escape From the Pit
420,BIT.TRIP RUNNER
455,Batman Arkham City
494,Beatbuddy Tale of the Guardians
502,"Ben There, Dan That!"
551,Blackwell Deception
577,Blocks That Matter
586,Blood Bowl Legendary Edition
639,Braid
676,Bullet Candy
686,Burnout Paradise The Ultimate Box
859,Cities XL Platinum
884,Closure
898,Cogs
918,Command and Conquer Red Alert 3 - Uprising
942,Confrontation
965,Cortex Command
978,Costume Quest
993,Crayon Physics Deluxe
1042,Crysis Warhead
1043,Crysis Wars
1075,DEFCON
1081,DOOM II Hell on Earth
1124,Darwinia
1163,Deadlight Original Soundtrack
1179,DeathSpank
1180,DeathSpank Thongs Of Virtue
1192,Defense Grid 2
1195,Defense Grid Resurgence Map Pack 1
1196,Defense Grid Resurgence Map Pack 2 
1197,Defense Grid Resurgence Map Pack 3
1198,Defense Grid Resurgence Map Pack 4
1199,Defense Grid The Awakening
1281,Dino D-Day
1308,Divinity II Developer's Cut
1313,Doc Clock The Toasted Sandwich of Time
1316,DogFighter
1421,Dungeonland
1422,Dungeonland - All access pass
1430,Dust An Elysian Tail
1434,Dwarfs!?
1444,EDGE
1472,Eets Munchies
1501,Empire Total War
1558,Europa Universalis III
1607,FEZ
1654,Faerie Solitaire
1691,Far Cry 2
1692,Far Cry 2 Fortunes Pack
1694,Far Cry 3 Blood Dragon
1709,Fate of the World
1726,Finding Teddy
1727,Finding Teddy Soundtrack
1754,Floating Point
1775,Foreign Legion Buckets of Blood
1790,Foul Play
1833,Frozen Synapse
1869,Galaxy on Fire 2 Full HD
1871,Galcon Fusion
1876,Game of Thrones 
1905,Gemini Rue
1908,Geneforge 1
1909,Geneforge 2
1910,Geneforge 3
1911,Geneforge 4
1912,Geneforge 5
1917,Geometry Wars Retro Evolved
1927,Giana Sisters Twisted Dreams
1985,Gratuitous Space Battles
2062,"Hack, Slash, Loot"
2064,Hacker Evolution - Untold
2065,Hacker Evolution Duality
2069,Half Minute Hero Super Mega Neo Climax Ultimate Boy
2088,Hammerfight
2089,Hammerwatch
2093,Hard Reset
2094,Hard Reset Exile DLC
2175,Home
2211,"I Have No Mouth, and I Must Scream"
2248,Indie Game The Movie
2292,Iron Grip Warlord
2324,Jamestown
2337,Jolly Rover
2389,King's Bounty Armored Princess
2390,King's Bounty Crossworlds
2507,Leviathan Warships
2593,MacGuffin's Curse
2597,Madballs in...Babo Invasion
2617,Magicka Nippon
2620,Magicka Vietnam
2622,Magicka Wizard's Survival Kit
2662,Master Levels for DOOM II
2676,McPixel
2685,Medieval II Total War
2686,Medieval II Total War Kingdoms
2695,Memoria
2725,Midnight Club II
2750,Mirror's Edge
2768,Monster Loves You!
2809,Mount & Blade Warband
2821,Multiwinia
2898,Napoleon Total War
2922,Nethergate Resurrection
2941,NightSky
2951,Nimbus
2989,Oddworld Abe's Oddysee
2997,Offspring Fling!
3010,"On the Rain-Slick Precipice of Darkness, Episode One"
3011,"On the Rain-Slick Precipice of Darkness, Episode Two"
3030,Orcs Must Die!
3068,PAYDAY The Heist
3124,Penny Arcade's On the Rain-Slick Precipice of Darkness 3
3187,PixelJunk Monsters Ultimate
3192,Plain Sight
3229,Portal Stories Mel
3255,Prince of Persia
3289,Project Zomboid
3291,Proteus
3299,Psychonauts
3300,Psychonauts Demo
3365,RAW - Realms of Ancient War
3419,Race The Sun
3474,Red Orchestra 2 Heroes of Stalingrad - Single Player
3491,Renegade Ops
3522,Revenge of the Titans
3552,Risen 2 - Dark Waters
3555,Rising Storm/Red Orchestra 2 Multiplayer
3564,Robocraft
3569,Rochard
3571,Rock of Ages
3590,Rome Total War
3623,S.T.A.L.K.E.R. Shadow of Chernobyl
3652,Sacred 2 Gold
3658,Saints Row 2
3664,Saira
3712,Scoregasm
3759,Shadow Man
3769,Shadowgrounds
3770,Shadowgrounds Survivor
3780,Shank
3781,Shank 2
3786,Shatter
3849,SimCity 4 Deluxe
3852,Sine Mora
3871,SkyDrift
3895,Snapshot
3907,Snuggle Truck
3951,Space Pirates and Zombies
3961,SpaceChem
3980,SpellForce 2 - Faith in Destiny
4018,Star Trek Online
4067,SteamWorld Dig
4070,Steel Storm Burning Retribution
4148,Super Meat Boy
4149,Super Monday Night Combat
4161,Supreme Commander
4164,Supreme Commander Forged Alliance
4188,Swords and Soldiers HD
4227,TRAUMA
4241,Tales of Maj'Eyal
4242,Tales of Maj'Eyal - Ashes of Urh'Rok
4305,The Baconing
4306,The Ball
4349,The Dark Eye Chains of Satinav
4374,The Expendabros
4394,The Guild II
4404,The Incredible Adventures of Van Helsing
4408,The Incredible Adventures of Van Helsing Thaumaturge
4453,The Path
4482,The Ship
4483,The Ship Single Player
4484,The Ship Tutorial
4487,The Showdown Effect
4509,The Typing of The Dead Overkill
4555,Thomas Was Alone
4557,Thunder Wolves
4570,"Time Gentlemen, Please!"
4585,Titan Quest
4586,Titan Quest Immortal Throne
4670,Total War SHOGUN 2
4708,Trials 2 Second Edition
4713,Trine
4719,Tropico 3 - Steam Special Edition
4773,Unepic
4792,Uplink
4799,VVVVVV
4809,Vampire The Masquerade - Bloodlines
4829,Vertex Dispenser
4832,Vessel
4892,War of the Roses
4893,War of the Roses Balance Beta
4894,War of the Roses Kingmaker
4903,Wargame European Escalation
4931,Warlock - Master of the Arcane
4932,Warlock - Master of the Arcane Powerful Lords
4980,Windosill
4982,Wings of Prey
4987,Without Within
4992,Wizorb
5025,Worms Clan Wars
5081,Your Doodles Are Bugged!
5094,Zen Bound 2
5096,Zeno Clash
5097,Zeno Clash 2
5111,Zombie Shooter
5112,Zombie Shooter 2
5142,inMomentum
647,Breath of Death VII 
822,Chernobyl Commando
1047,Cthulhu Saves the World 
1311,Dizzel
2063,Hacker Evolution
2201,Huntsman - The Orphanage Halloween Edition
2533,Loadout
3713,Scourge Outbreak
3714,Scourge Outbreak - Blindside
3715,Scourge Outbreak Fan Pack
4472,The Scourge Project Episode 1 and 2
2295,Iron Warriors T-72 Tank Command
3622,S.T.A.L.K.E.R. Clear Sky
3841,Silent Hunter III
4885,War Inc. Battlezone
1978,Grand Theft Auto IV
2400,Kingdom Rush
244,Always Sometimes Monsters
545,Blackguards
637,Botanicula
659,Broforce
661,Broken Sword 1 - Shadow of the Templars Director's Cut
763,Car Mechanic Simulator 2014
797,CastleStorm
931,Company of Heroes 2
948,Construction Machines 2014
977,Cossacks II Napoleonic Wars
1386,Driftmoon
1490,Elven Legacy
1592,F.E.A.R. 2 Project Origin
1698,Farm Machines Championships 2014
1748,FlatOut 2
1848,GRID 2
1874,Game Dev Tycoon
2018,Guardians of Middle-earth
2038,Gunman Clive
2130,Helicopter Simulator 2014 Search and Rescue
2183,Hostile Waters Antaeus Rising
2194,Humanity Asset
2316,Jagged Alliance 2 Gold Pack
2317,Jagged Alliance 2 Gold Unfinished Business
2350,KAMI
2368,Kerbal Space Program
2388,King of Dragon Pass
2446,LEGO Worlds
2454,LUFTRAUSERS
2532,Little Racers STREET
2563,Lume
2601,Magic 2014 
2602,Magic 2015
2604,Magic Duels
2629,Majesty 2
2697,Men of War
2698,Men of War Assault Squad
2700,Men of War Condemned Heroes
2701,Men of War Red Tide
2702,Men of War Vietnam
2779,Mortal Kombat Kollection
2780,Mortal Kombat Komplete Edition
2841,N.P.P.D. RUSH - The milk of Ultra violet
3036,Ori and the Blind Forest
3114,Pat & Mat
3146,Pinball FX2
3150,Pinball FX2 - Core pack
3152,Pinball FX2 - Earth Defense Table
3153,Pinball FX2 - Epic Quest Table
3159,Pinball FX2 - Paranormal Table
3166,Pinball FX2 - Zen Classics Pack
3179,Pixel Piracy
3276,Probably Archery
3440,Rayman Legends
3576,Rocksmith 2014
3631,SHOGUN Total War - Gold Edition
3793,Shelter
3818,Sid Meier's Ace Patrol
3819,Sid Meier's Ace Patrol Pacific Skies
3831,Sid Meier's Pirates!
3868,Skulls of the Shogun
3948,Space Hulk
3975,SpeedRunners
3988,Spintires
4063,Stealth Inc 2
4283,Tesla Effect
4371,The Escapists
4553,This War of Mine
4560,Ticket to Ride
4561,Ticket to Ride - Europe
4564,Ticket to Ride - USA 1910
4674,TowerFall Ascension
4759,Ultimate General Gettysburg
4842,Viking Battle for Asgard
4920,"Warhammer 40,000 Space Marine"
4924,"Warhammer 40,000 Storm of Vengeance Deathwing Terminator"
4933,Warlock 2 the Exiled
4983,Wings! Remastered Edition
5029,Worms Revolution
27,3DMark
29,3DMark API Overhead feature test
30,3DMark Cloud Gate benchmark
31,3DMark Fire Strike benchmark
32,3DMark Ice Storm benchmark
33,3DMark Sky Diver benchmark
331,Arma 3
335,Arma 3 Zeus
435,Bad Rats
482,Battlefield Bad Company 2 Vietnam
697,COH2 - The Western Front Armies Oberkommando West
698,COH2 - The Western Front Armies US Forces
1409,Dungeon Defenders II
1616,FINAL FANTASY VII
3197,Planetary Annihilation
3200,Planetary Annihilation TITANS
3205,Plants vs. Zombies Game of the Year
3860,Sins of a Solar Empire Trinity
3943,Space Empires V
4019,Star Wars - Battlefront II
4026,Star Wars Knights of the Old Republic
4090,Street Fighter IV
4162,Supreme Commander 2
4562,Ticket to Ride - Legendary Asia
4563,Ticket to Ride - Switzerland
5013,World in Conflict
5014,World in Conflict Soviet Assault
356,Assassin's Creed Brotherhood
794,Castle Story
798,CastleStorm - From Outcast to Savior
799,CastleStorm - The Warrior Queen
875,Clicker Heroes
1419,Dungeon of the Endless
2136,Hero Academy
2144,Heroes & Generals
2962,Nosgoth
3116,Path of Exile
3242,Pre-Civilization Marble Age
3512,Retro-Pixel Castles
4114,Stronghold Kingdoms
4255,Tap Tap Infinity
4569,Time Clickers
1072,DC Universe Online
4030,Star Wars The Force Unleashed II
225,Alien Shooter 2 Reloaded
227,Alien Shooter Vengeance
497,Bejeweled 2 Deluxe
618,Bookworm Adventures Deluxe
1078,DOOM 3
1079,DOOM 3 BFG Edition
1080,DOOM 3 Resurrection of Evil
1236,Descent Underground
1328,Don't Starve Reign of Giants
1393,Droplitz
1402,Duke Nukem 3D Megaton Edition
1591,F.E.A.R.
1594,F.E.A.R. Extraction Point
1596,F.E.A.R. Perseus Mandate
1675,Fallout 3
1721,Final DOOM
1817,From Dust
1847,GRID
1926,Ghostbusters The Video Game
1974,Grand Theft Auto
1975,Grand Theft Auto 2
1977,Grand Theft Auto III
1979,Grand Theft Auto San Andreas
1980,Grand Theft Auto V
1981,Grand Theft Auto Vice City
2269,Insaniquarium! Deluxe
2449,LIMBO
2549,Lost Planet 2
2644,Manhunt
2668,Max Payne
2931,Next Car Game Sneak Peek 2.0
2932,Next Car Game Wreckfest
3084,Painkiller Gold Edition
3090,Painkiller Redemption
3120,Peggle Deluxe
3212,Poker Night 2
3247,Prey
3332,Quake
3339,Quake Live
3469,Red Faction
3471,Red Faction Armageddon Soundtrack
3473,Red Faction II
3499,Resident Evil 5 / Biohazard 5
3549,Rise of the Triad
3619,Ryse Son of Rome
3630,SEGA Genesis & Mega Drive Classics
3765,Shadow Warrior Classic Redux
3878,SlamIt Pinball Big Score
3897,Sniper Elite 3
3984,Spelunky
4020,Star Wars - Jedi Knight II Jedi Outcast
4021,Star Wars - Jedi Knight Mysteries of the Sith
4022,Star Wars Dark Forces
4024,Star Wars Jedi Knight Dark Forces II
4025,Star Wars Jedi Knight Jedi Academy
4099,Strike Suit Infinity
4100,Strike Suit Zero
4239,Tales from Space Mutant Blobs Attack
4316,The Binding of Isaac Rebirth
4510,The Ultimate DOOM
4663,Total Annihilation
4782,Unmechanical
4965,Wild Metal Country
4996,Wolfenstein The New Order
4998,Wolfenstein The Old Blood 
5116,Zombies Monsters Robots
5121,Zuma Deluxe
1142,Dead Island Epidemic
1200,Defiance
2053,HAWKEN
2658,Marvel Heroes 2015
4901,Warframe
3814,SiN
3815,SiN Episodes Emergence
3816,SiN Multiplayer
504,Besiege
924,Commandos 2 Men of Courage
925,Commandos 3 Destination Berlin
926,Commandos Behind Enemy Lines
927,Commandos Beyond the Call of Duty
1598,F1 2011
4709,Trials Evolution Gold Edition
217,Alien Breed 3 Descent
218,Alien Breed Impact
323,Arena Wars 2
539,Black Mesa
548,Blacklight Retribution
598,Bloodline Champions
641,Brawlhalla
810,Chains
985,Counter-Strike Nexon Zombies - Starter Pack
1283,Dirty Bomb
1690,Far Cry
1841,Future Wars
1976,Grand Theft Auto Episodes from Liberty City
2051,H1Z1
2052,H1Z1 Test Server
2293,Iron Sky Invasion
3483,Reign Of Kings
3575,Rocksmith
3811,Shower With Your Dad Simulator 2015 Do You Still Shower With Your Dad
4142,Super Hexagon
4199,TERA
4529,The Witcher Enhanced Edition
4762,Ultra Street Fighter IV
315,ArcheAge
325,Arma 2 British Armed Forces
326,Arma 2 DayZ Mod
330,Arma 2 Private Military Company
332,Arma 3 Helicopters
333,Arma 3 Karts
334,Arma 3 Marksmen
1572,EverQuest II
1922,Ghost Master
3414,RUNNING WITH RIFLES
3415,RUSH
3519,Reus
3942,Space Empires IV Deluxe
4594,Toki Tori
233,Aliens vs. Predator
893,Codename Gordon
962,Copa Petrobras de Marcas
3864,Ski Region Simulator
1674,Fallout 2
1685,Fallout Tactics
4902,Wargame AirLand Battle
1416,Dungeon Siege III
449,Bastion
4669,Total War ROME II - Emperor Edition
192,Aion
3327,Pyroblazer
1064,D.U.S.T.
1074,DCS World
2215,IL-2 Sturmovik 1946
2216,IL-2 Sturmovik Battle of Stalingrad
2217,IL-2 Sturmovik Cliffs of Dover
2291,Iron Front  D-Day DLC
2357,Kanji Training Game
2863,NEOTOKYO
3475,Red Orchestra Beta
